"s_id","s_day","s_level","s_year","s_group","s_class","s_time","s_lecType","s_subject"
"1","2","1","1","1","B21","12:45 - 14:15","1","Arkitektura e Kompjuterve &SO"
"2","2","1","1","2","B21","12:45 - 14:15","1","Arkitektura e Kompjuterve &SO"
"3","2","1","1","2","B22","13:30 - 15:00","2","Arkitektura e Kompjuterve &SO"
"4","6","1","1","3","B21","09:30 - 11:00","2","Arkitektura e Kompjuterve &SO"
"5","6","1","1","4","B21","11:00 - 12:30","2","Arkitektura e Kompjuterve &SO"
"6","6","1","1","1","B21","13:15 - 14:45","2","Arkitektura e Kompjuterve &SO"
"7","1","1","1","1","B21","08:30 - 10:00","2","Anglishtja per Shkenca Kompjuterike I "
"8","2","1","1","2","A01","09:00 - 10:30","2","Anglishtja per Shkenca Kompjuterike I"
"9","2","1","1","2","B21","09:00 - 10:30","1","Anglishtja per Shkenca Kompjuterike I"
"10","2","1","1","1","B21","11:00 - 12:30","1","Anglishtja per Shkenca Kompjuterike I"
"13","1","1","2","1","B22","10:00 - 11:30","1","BAZAT E TË DHENAVE"
"14","1","1","2","1","B22","12:00 - 13:30","1","SIGURIMI I KUALITETIT TË
SOFTUERËVE"
"15","1","3","3","1","B21","13:30 - 15:00","1","DATABAZE E AVANCUAR"
"16","1","4","3","1","B22","14:00 - 15:30","1","SIGURIA E INTERNETIT"
"17","1","5","1","1","B24","16:00 - 17:30","2","Teoria e Kontrolles dhe Praktika"
"18","1","5","1","1","B02","17:30 - 19:00","1","Algoritmet dhe Inteligjenca
Artificiale"
"21","2","1","1","3","A01","10:45 - 12:15","2","Shkrim Akademik"
"22","2","1","1","1","A01","12:30 - 14:00","2","Shkrim Akademik"
"23","2","1","1","4","A01","14:30 - 16:00","2","Shkrim Akademik"
"24","4","1","1","1","B21","12:00 - 12:45","1","Shkrim Akademik"
"25","4","1","1","2","B21","15:15 - 16:45","1","Shkrim Akademik"
"26","4","1","1","3","B21","12:45 - 13:30","1","Shkrim Akademik"
"27","1","1","1","3","B21","15:00 - 16:30","1","Matematika I per Informatike"
"28","3","1","1","2","B22","13:00 - 14:30","2","Matematika I per Informatike"
"29","3","1","1","3","B22","15:45 - 17:15","2","Matematika I per Informatike"
"30","4","1","1","1","A01","13:00 - 15:15","1","Matematika I per Informatike"
"31","4","1","1","2","A01","10:00 - 12:15","1","Matematika I per Informatike"
"32","4","1","1","1","A01","16:45 - 18:15","2","Matematika I per Informatike"
"33","3","1","1","1","B21","10:30 - 12:45","1","Programimi I"
"34","3","1","1","2","B21","13:30 - 15:45","2","Programimi I"
"35","3","1","1","3","B23","08:30 - 10:00","2","Programimi I"
"36","4","1","1","1","A01","13:00 - 15:15","2","Programim I"
"37","4","1","1","2","A01","10:00 - 12:15","2","Programim I"
"38","4","1","1","3","A01","16:45 - 18:15","2","Programim I"
"39","3","1","2","1","B21","14:00 - 15:30","1","ZHVILLIMI I WEB APLIKACIONEVE"
"40","4","1","2","2","B10","09:30 - 11:00","2","ZHVILLIMI I WEB APLIKACIONEVE"
"41","4","1","2","1","B10","11:15 - 12:45","2","ZHVILLIMI I WEB APLIKACIONEVE"
"42","3","1","2","1","B21","15:30 - 17:00","1","PROBABILITETI DHE STATISTIKA"
"43","5","1","2","1","A01","13:00 - 15:15","2","PROBABILITETI DHE STATISTIKA"
"44","2","1","2","1","B23","10:30 - 12:45","1","ALGORITMET & STRUKTURAT E TË DHËNAVE"
"45","2","1","2","1","B23","09:00 - 10:30","2","ALGORITMET & STRUKTURAT E TË DHËNAVE"
"46","2","1","2","2","B23","12:45 - 14:15","2","ALGORITMET & STRUKTURAT E TË DHËNAVE"
"47","3","1","2","1","B23","11:30 - 13:00","1","HYRJE NE GRAFIKEN KOMPJUTERIKE"
"48","3","1","2","1","B23","10:00 - 11:30","2","HYRJE NE GRAFIKEN KOMPJUTERIKE"
"49","2","3","3","1","B31","12:00 - 13:30","1","INXHINIERI SOFTUERIKE"
"50","2","3","3","1","B24","14:00 - 15:30","2","INXHINIERI SOFTUERIKE"
"51","1","3","3","1","B21","13:30 - 15:00","1","DATABAZE E AVANCUAR"
"52","2","3","3","1","B24","10:30 - 12:00","2","DATABAZE E AVANCUAR"
"53","4","3","3","1","B21","14:00 - 15:30","1","WEB DESIGN I AVANCUAR"
"54","2","3","3","1","B23","15:30 - 17:00","2","WEB DESIGN I AVANCUAR"
"55","4","3","3","1","B31","11:30 - 13:00","1","VIZUALIZIMI DHE PROCESIMI I IMAZHEVE"
"56","4","3","3","1","B24","16:00 - 17:30","2","VIZUALIZIMI DHE PROCESIMI I IMAZHEVE"
"57","1","4","3","1","B22","14:00 - 15:30","1","SIGURIA E INTERNETIT"
"58","2","4","3","1","B24","12:00 - 13:30","2","SIGURIA E INTERNETIT"
"59","2","4","3","1","B31","14:00 - 15:30","1","TEKNOLOGJIA E KOMUNIKIMIT NË BIZNES"
"60","2","4","3","1","B24","15:30 - 17:00","2","TEKNOLOGJIA E KOMUNIKIMIT NË BIZNES"
"61","3","4","3","1","B24","09:15 - 10:45","1","ANALIZA E INFORMACIONEVE TË BISNESIT"
"62","3","4","3","1","FSHK-ZYRA_3","15:30 - 16:15","1","PROJEKT NË IE (PRAKTIKË)"
"63","2","4","3","1","B31","10:30 - 12:00","1","E-GOVERNANCE"
"64","2","4","3","1","B24","15:30 - 17:00","2","E-GOVERNANCE"
"65","1","1","2","1","B22","10:00 - 11:30","1","BAZAT E TË DHENAVE"
"66","6","1","2","1","B24","09:00 - 10:30","2","BAZAT E TË DHENAVE"
"67","6","1","2","2","B24","10:30 - 12:00","2","BAZAT E TË DHENAVE"
"68","2","5","1","1","B02","17:30 - 19:45","1","Bazat e Inteligjences Artificiale"
"69","6","5","1","1","B23","11:15 - 12:45","2","Bazat e Inteligjences Artificiale"
"70","3","5","1","1","B23","16:00 - 17:30","1","Programimi PLC"
"71","4","5","1","1","B23","18:30 - 20:00","2","Programimi PLC"
"72","3","5","1","1","B21","17:30 - 19:45","1","Aproksimimet e Aplikuara ne AI dhe Robotike"
"73","6","3","1","1","B23","09:30 - 11:00","2","Aproksimimet e Aplikuara ne AI dhe Robotike"
"74","1","5","1","1","B02","17:30 - 19:00","1","Algoritmet dhe Inteligjenca Artificiale"
"75","2","5","1","1","B31","16:00 - 17:30","2","Algoritmet dhe Inteligjenca Artificiale"
"76","4","5","1","1","B31","17:00 - 18:30","1","Mekatronika"
"77","6","5","1","1","B23","12:45 - 14:15","2","Mekatronika"
"78","4","5","1","1","B31","15:30 - 17:00","2","Kontrolla e Adaptueshme"
